,identifier,score,activity,scheme
0,ZINC39723500|decoys_final|mol2|3213|dock4,22.03822429906542,0,hs2
5,CHEMBL395332|actives_final|mol2|90|dock2,19.975924495131878,1,hs2
7,ZINC04427969|decoys_final|mol2|3648|dock1,19.333042884457797,0,hs2
16,ZINC01415865|decoys_final|mol2|4489|dock1,18.894986589066818,0,hs2
22,CHEMBL213686|actives_final|mol2|145|dock3,18.806515018939393,1,hs2
229,ZINC28294664|decoys_final|mol2|2320|dock3,18.714766587533198,0,hs2
25,ZINC48833685|decoys_final|mol2|3506|dock5,18.414956748131353,0,hs2
989,ZINC39510521|decoys_final|mol2|4124|dock3,18.077091425794833,0,hs2
14,ZINC37581205|decoys_final|mol2|2935|dock2,17.995696567776495,0,hs2
31,ZINC10893741|decoys_final|mol2|4604|dock5,17.947773477548644,0,hs2
27,CHEMBL210741|actives_final|mol2|106|dock3,17.890081961834266,1,hs2
28,CHEMBL241754|actives_final|mol2|135|dock4,17.882006560913926,1,hs2
21,ZINC40349121|decoys_final|mol2|1592|dock1,17.783479345122963,0,hs2
1808,ZINC32575642|decoys_final|mol2|1373|dock5,17.662338217219357,0,hs2
36,ZINC61881450|decoys_final|mol2|2409|dock4,17.608527318186926,0,hs2
15,ZINC23006986|decoys_final|mol2|5002|dock2,17.500582720867584,0,hs2
9,ZINC02535920|decoys_final|mol2|1471|dock5,17.452826456210836,0,hs2
20,ZINC61814484|decoys_final|mol2|1152|dock4,17.40053072561744,0,hs2
19,ZINC50833365|decoys_final|mol2|3511|dock2,17.355496924353922,0,hs2
39,ZINC03355803|decoys_final|mol2|2520|dock2,17.229628344884826,0,hs2
74,ZINC17440311|decoys_final|mol2|4825|dock2,17.093103418617922,0,hs2
204,ZINC37335059|decoys_final|mol2|4521|dock1,17.07557815556816,0,hs2
1156,ZINC50673909|decoys_final|mol2|1224|dock3,17.071343127746694,0,hs2
174,ZINC08809765|decoys_final|mol2|3119|dock3,17.036489632001263,0,hs2
230,ZINC13122238|decoys_final|mol2|4480|dock3,17.031428948684002,0,hs2
2,ZINC06510544|decoys_final|mol2|2021|dock1,17.023443749062594,0,hs2
51,ZINC43263771|decoys_final|mol2|6582|dock1,16.960900098551193,0,hs2
6,ZINC04024313|decoys_final|mol2|2925|dock2,16.955587614763058,0,hs2
65,ZINC61687294|decoys_final|mol2|2870|dock3,16.935842510746603,0,hs2
47,ZINC49978700|decoys_final|mol2|3466|dock4,16.914837319192593,0,hs2
29,ZINC03405752|decoys_final|mol2|3687|dock3,16.907603641936063,0,hs2
24,ZINC01950211|decoys_final|mol2|4760|dock4,16.889340182804833,0,hs2
5490,ZINC67299161|decoys_final|mol2|2818|dock3,16.78841145833333,0,hs2
40,CHEMBL210264|actives_final|mol2|70|dock4,16.69485196321875,1,hs2
30,ZINC22264177|decoys_final|mol2|1622|dock5,16.68564494961331,0,hs2
59,ZINC48797975|decoys_final|mol2|6592|dock3,16.63123117256464,0,hs2
109,ZINC01672598|decoys_final|mol2|2824|dock1,16.512015582341675,0,hs2
167,ZINC50102032|decoys_final|mol2|1705|dock2,16.26511633711634,0,hs2
54,CHEMBL400042|actives_final|mol2|102|dock1,16.254442135465517,1,hs2
2730,ZINC44857237|decoys_final|mol2|3314|dock2,16.148214750744046,0,hs2
69,ZINC39698559|decoys_final|mol2|1382|dock4,16.097310549805506,0,hs2
142,ZINC02625643|decoys_final|mol2|4845|dock3,16.043163159366657,0,hs2
82,ZINC61372808|decoys_final|mol2|1397|dock4,16.010050467707547,0,hs2
134,ZINC36321627|decoys_final|mol2|6768|dock5,15.994254140842099,0,hs2
56,ZINC13785979|decoys_final|mol2|4157|dock3,15.9594207813037,0,hs2
118,ZINC22744058|decoys_final|mol2|4767|dock2,15.944542973014748,0,hs2
1761,ZINC15776449|decoys_final|mol2|4684|dock3,15.938711953709864,0,hs2
161,ZINC40324238|decoys_final|mol2|2746|dock4,15.920343250857496,0,hs2
88,CHEMBL382790|actives_final|mol2|149|dock5,15.910657788524315,1,hs2
291,ZINC65427078|decoys_final|mol2|6706|dock2,15.880699865861835,0,hs2
216,ZINC67451401|decoys_final|mol2|6809|dock5,15.868559093065873,0,hs2
46,ZINC39834824|decoys_final|mol2|692|dock1,15.849075073438831,0,hs2
187,ZINC00730675|decoys_final|mol2|4238|dock2,15.784565695879005,0,hs2
114,ZINC60854325|decoys_final|mol2|4478|dock5,15.778814288363936,0,hs2
32,ZINC20027888|decoys_final|mol2|1618|dock4,15.717811262228583,0,hs2
5084,ZINC38563698|decoys_final|mol2|3103|dock3,15.652938134211418,0,hs2
49,ZINC64249564|decoys_final|mol2|4588|dock5,15.579719034668745,0,hs2
3737,ZINC04592596|decoys_final|mol2|2420|dock3,15.56674689128857,0,hs2
159,CHEMBL535161|actives_final|mol2|53|dock1,15.545746966413557,1,hs2
321,ZINC62607828|decoys_final|mol2|6654|dock4,15.440462818824603,0,hs2
158,ZINC38683954|decoys_final|mol2|4829|dock3,15.411278069756332,0,hs2
782,ZINC35937954|decoys_final|mol2|1940|dock2,15.396507115287603,0,hs2
4049,ZINC09119125|decoys_final|mol2|1927|dock3,15.395763807683833,0,hs2
186,ZINC53283021|decoys_final|mol2|1449|dock2,15.389120239687019,0,hs2
354,ZINC08425430|decoys_final|mol2|4809|dock4,15.371661509610878,0,hs2
7047,ZINC02955023|decoys_final|mol2|2255|dock4,15.349605885595704,0,hs2
115,CHEMBL209815|actives_final|mol2|17|dock5,15.342335963720316,1,hs2
177,ZINC01274814|decoys_final|mol2|4493|dock3,15.32711365401208,0,hs2
2064,ZINC33828049|decoys_final|mol2|4719|dock3,15.323041707052573,0,hs2
3577,ZINC63383808|decoys_final|mol2|3824|dock2,15.318633816486276,0,hs2
343,ZINC16991162|decoys_final|mol2|4195|dock1,15.300028985507245,0,hs2
4755,ZINC39302006|decoys_final|mol2|3310|dock5,15.21507949671341,0,hs2
585,ZINC49152190|decoys_final|mol2|2397|dock2,15.204050823733098,0,hs2
326,ZINC21924036|decoys_final|mol2|2806|dock3,15.122393545340659,0,hs2
345,ZINC45701769|decoys_final|mol2|2392|dock4,15.101062182465387,0,hs2
3825,CHEMBL378497|actives_final|mol2|29|dock1,15.082502325595785,1,hs2
3514,ZINC49192972|decoys_final|mol2|4409|dock3,15.068102138090499,0,hs2
72,ZINC58714719|decoys_final|mol2|1714|dock5,14.959346240179574,0,hs2
330,ZINC15276936|decoys_final|mol2|3197|dock3,14.948943936528977,0,hs2
64,ZINC49120963|decoys_final|mol2|1645|dock1,14.908167967198231,0,hs2
102,ZINC13810411|decoys_final|mol2|4158|dock5,14.871680759031147,0,hs2
71,ZINC13694566|decoys_final|mol2|871|dock2,14.8156095988935,0,hs2
222,ZINC21796611|decoys_final|mol2|2588|dock2,14.81399497753106,0,hs2
212,ZINC39654383|decoys_final|mol2|3808|dock3,14.763853327369247,0,hs2
143,ZINC19505358|decoys_final|mol2|1655|dock4,14.736956426493302,0,hs2
48,ZINC36307531|decoys_final|mol2|1580|dock5,14.694044661086775,0,hs2
243,ZINC05867596|decoys_final|mol2|4541|dock5,14.692820515178258,0,hs2
67,ZINC57793061|decoys_final|mol2|4636|dock2,14.690176206860597,0,hs2
104,ZINC11649263|decoys_final|mol2|2580|dock1,14.589167426726956,0,hs2
465,ZINC15771342|decoys_final|mol2|6382|dock3,14.574344685242519,0,hs2
94,ZINC37581015|decoys_final|mol2|2933|dock1,14.521893828521051,0,hs2
120,ZINC21320850|decoys_final|mol2|4863|dock2,14.436955142606127,0,hs2
253,ZINC57250509|decoys_final|mol2|6839|dock1,14.421952662721893,0,hs2
273,ZINC05687437|decoys_final|mol2|1801|dock5,14.368471680210579,0,hs2
100,ZINC12619481|decoys_final|mol2|6723|dock1,14.354393203373078,0,hs2
364,ZINC17305040|decoys_final|mol2|4255|dock4,14.342658387394337,0,hs2
263,ZINC60582849|decoys_final|mol2|3519|dock5,14.317173697178118,0,hs2
97,ZINC37734073|decoys_final|mol2|1588|dock3,14.268037734489468,0,hs2
1034,ZINC19741803|decoys_final|mol2|6308|dock2,14.205699225071397,0,hs2
178,CHEMBL438876|actives_final|mol2|20|dock3,14.159606194810706,1,hs2
241,ZINC08030447|decoys_final|mol2|1367|dock3,14.154064709634934,0,hs2
6912,ZINC45890095|decoys_final|mol2|4924|dock2,14.13802427023441,0,hs2
192,ZINC13409277|decoys_final|mol2|6879|dock1,14.020039231339945,0,hs2
137,CHEMBL250127|actives_final|mol2|54|dock2,14.017077636077751,1,hs2
333,ZINC43415149|decoys_final|mol2|4362|dock3,13.946451473744446,0,hs2
163,ZINC36168788|decoys_final|mol2|3490|dock1,13.943110481526286,0,hs2
349,ZINC00917084|decoys_final|mol2|1360|dock2,13.92225581395349,0,hs2
399,ZINC63920274|decoys_final|mol2|3882|dock4,13.865175768313021,0,hs2
651,ZINC05773959|decoys_final|mol2|4538|dock2,13.802593676190318,0,hs2
194,ZINC22416077|decoys_final|mol2|4550|dock1,13.80202905770029,0,hs2
338,ZINC64948642|decoys_final|mol2|4487|dock3,13.798361933611769,0,hs2
439,ZINC59274960|decoys_final|mol2|6751|dock1,13.76268128475365,0,hs2
329,ZINC06679936|decoys_final|mol2|206|dock3,13.749837548734366,0,hs2
300,ZINC58218078|decoys_final|mol2|1228|dock4,13.746922645861897,0,hs2
493,ZINC04063114|decoys_final|mol2|4595|dock2,13.632611093491208,0,hs2
317,ZINC57783540|decoys_final|mol2|4884|dock2,13.63215061314894,0,hs2
421,ZINC49151158|decoys_final|mol2|2098|dock3,13.501602491742968,0,hs2
107,ZINC22484516|decoys_final|mol2|4904|dock1,13.471232978875982,0,hs2
5590,ZINC22700145|decoys_final|mol2|2254|dock2,13.461434962661237,0,hs2
1429,ZINC63182754|decoys_final|mol2|3822|dock5,13.346964360994908,0,hs2
302,CHEMBL210264|actives_final|mol2|71|dock4,13.330874515895681,1,hs2
262,CHEMBL213686|actives_final|mol2|144|dock4,13.304554786275336,1,hs2
430,ZINC35081841|decoys_final|mol2|6561|dock5,13.273673850064913,0,hs2
303,ZINC32231931|decoys_final|mol2|6560|dock3,13.26203732135019,0,hs2
382,ZINC00935577|decoys_final|mol2|2280|dock5,13.191161390847958,0,hs2
359,ZINC02239647|decoys_final|mol2|4496|dock3,13.18175457631228,0,hs2
580,ZINC40968082|decoys_final|mol2|2090|dock5,12.980411770145555,0,hs2
4051,ZINC66115003|decoys_final|mol2|2517|dock2,12.915737627582995,0,hs2
279,ZINC24443625|decoys_final|mol2|6822|dock3,12.895473537650988,0,hs2
327,ZINC52860316|decoys_final|mol2|1653|dock2,12.877339618931925,0,hs2
179,ZINC21017802|decoys_final|mol2|1673|dock4,12.848041306957104,0,hs2
380,ZINC61949560|decoys_final|mol2|6250|dock5,12.757537812546104,0,hs2
482,ZINC48634489|decoys_final|mol2|1644|dock1,12.733945553391756,0,hs2
91,ZINC49546856|decoys_final|mol2|4324|dock2,12.62450416351249,0,hs2
577,ZINC43265169|decoys_final|mol2|6330|dock2,12.552880617650139,0,hs2
492,ZINC45065977|decoys_final|mol2|6590|dock2,12.526575249001132,0,hs2
389,ZINC08602358|decoys_final|mol2|2538|dock1,12.520503693667258,0,hs2
257,ZINC02476702|decoys_final|mol2|3991|dock3,12.517268966658392,0,hs2
483,ZINC00522833|decoys_final|mol2|1567|dock3,12.489386260936708,0,hs2
1009,ZINC62054006|decoys_final|mol2|1612|dock1,12.352995725720557,0,hs2
99,ZINC19891585|decoys_final|mol2|672|dock4,12.341601272534463,0,hs2
251,ZINC43660416|decoys_final|mol2|1190|dock1,12.331063224885506,0,hs2
2893,ZINC16853992|decoys_final|mol2|2070|dock3,12.299592213021953,0,hs2
547,ZINC41536273|decoys_final|mol2|23|dock5,12.233753625795172,0,hs2
183,ZINC23306415|decoys_final|mol2|5675|dock3,12.231703442188879,0,hs2
60,ZINC02382662|decoys_final|mol2|2722|dock2,12.228403521334155,0,hs2
201,ZINC63447507|decoys_final|mol2|2616|dock1,12.225195025717206,0,hs2
280,ZINC42858314|decoys_final|mol2|1699|dock3,12.21490305376173,0,hs2
352,ZINC36888025|decoys_final|mol2|1626|dock5,12.124850729765592,0,hs2
191,ZINC01257545|decoys_final|mol2|4291|dock2,12.039721268540257,0,hs2
306,ZINC04002382|decoys_final|mol2|6407|dock3,12.018530861104152,0,hs2
234,ZINC08596784|decoys_final|mol2|791|dock4,12.013776077885952,0,hs2
418,ZINC20805642|decoys_final|mol2|4859|dock4,11.972923706136347,0,hs2
346,ZINC21501614|decoys_final|mol2|1675|dock4,11.926565706297424,0,hs2
342,ZINC21011824|decoys_final|mol2|2924|dock1,11.90503318374341,0,hs2
591,ZINC15085499|decoys_final|mol2|3483|dock2,11.88788640108559,0,hs2
4380,ZINC23506704|decoys_final|mol2|1821|dock3,11.835912088614911,0,hs2
723,ZINC41817641|decoys_final|mol2|4569|dock5,11.825150616402532,0,hs2
340,ZINC40364909|decoys_final|mol2|2089|dock3,11.731896912916433,0,hs2
1328,ZINC39749750|decoys_final|mol2|4833|dock5,11.729653875048363,0,hs2
495,ZINC39930975|decoys_final|mol2|3450|dock2,11.714156459495698,0,hs2
162,ZINC19723469|decoys_final|mol2|1169|dock3,11.702957001266862,0,hs2
436,ZINC53994127|decoys_final|mol2|2308|dock3,11.689725265230928,0,hs2
351,ZINC14482480|decoys_final|mol2|1210|dock3,11.675580575961288,0,hs2
1,ZINC49555265|decoys_final|mol2|1543|dock2,11.650894126789547,0,hs2
